Date,Close
8/8/16,78.15
8/9/16,78.35
8/10/16,78.47
8/11/16,78.71
8/12/16,78.68
8/15/16,78.46
8/16/16,77.7
8/17/16,77.96
8/18/16,77.99
8/19/16,77.73
8/22/16,77.84
8/23/16,77.88
8/24/16,77.44
8/25/16,77.4
8/26/16,77.17
8/29/16,77.67
8/30/16,77.34
8/31/16,77.28
9/1/16,77.41
9/2/16,77.82
9/6/16,78.27
9/7/16,78.06
9/8/16,77.69
9/9/16,75.61
9/12/16,76.75
9/13/16,75.68
9/14/16,75.79
9/15/16,76.5
9/16/16,76.4
9/19/16,76.51
9/20/16,76.59
9/21/16,77.67
9/22/16,78.26
9/23/16,77.91
9/26/16,77.13
9/27/16,77.63
9/28/16,77.75
9/29/16,77.1
9/30/16,77.37
10/3/16,77.09
10/4/16,76.34
10/5/16,76.29
10/6/16,76.52
10/7/16,76.22
10/10/16,76.56
10/11/16,75.61
10/12/16,76.11
10/13/16,76.03
10/14/16,75.95
10/17/16,75.81
10/18/16,76.21
10/19/16,76.17
10/20/16,76.08
10/21/16,76.14
10/24/16,76.65
10/25/16,76.22
10/26/16,75.76
10/27/16,75.27
10/28/16,75.43
10/31/16,75.87
11/1/16,75.14
11/2/16,74.62
11/3/16,74.2
11/4/16,74.12
11/7/16,75.6
11/8/16,76.15
11/9/16,75.83
11/10/16,74.86
11/11/16,74.76
11/14/16,74.15
11/15/16,74.85
11/16/16,75.07
11/17/16,75.48
11/18/16,75.27
11/21/16,75.78
11/22/16,76.04
11/23/16,76.2
11/25/16,76.33
11/28/16,76.3
11/29/16,76.6
11/30/16,75.42
12/1/16,74
12/2/16,74.44
12/5/16,74.99
12/6/16,75.18
12/7/16,76.16
12/8/16,76.13
12/9/16,76.35
12/12/16,76.26
12/13/16,76.89
12/14/16,76.43
12/15/16,76.82
12/16/16,76.61
12/19/16,76.87
12/20/16,77.12
12/21/16,77.03
12/22/16,76.61
12/23/16,76.75
12/27/16,77.09
12/28/16,76.3
12/29/16,76.46
12/30/16,75.86
1/3/17,76.08
1/4/17,76.53
1/5/17,76.78
1/6/17,77.22
1/9/17,77.19
1/10/17,77.15
1/11/17,77.4
1/12/17,77.31
1/13/17,77.5
1/17/17,77.32
1/18/17,77.55
1/19/17,77.46
1/20/17,77.62
1/23/17,77.45
1/24/17,78.08
1/25/17,78.72
1/26/17,78.61
1/27/17,78.73
1/30/17,78.25
1/31/17,78.25
2/1/17,78.43
2/2/17,78.57
2/3/17,78.89
2/6/17,78.85
2/7/17,79.09
2/8/17,79.29
2/9/17,79.44
2/10/17,79.69
2/13/17,79.93
2/14/17,79.92
2/15/17,80.3
2/16/17,80.44
2/17/17,80.54
2/21/17,81.11
2/22/17,81.19
2/23/17,80.99
2/24/17,81.16
2/27/17,81.33
2/28/17,81.22
3/1/17,82.07
3/2/17,81.58
3/3/17,81.71
3/6/17,81.56
3/7/17,81.56
3/8/17,81.53
3/9/17,81.67
3/10/17,82.16
3/13/17,82.45
3/14/17,82.15
3/15/17,82.88
3/16/17,82.67
3/17/17,82.87
3/20/17,82.92
3/21/17,81.94
3/22/17,82.37
3/23/17,82.21
3/24/17,82.15
3/27/17,82.05
3/28/17,82.38
3/29/17,82.62
3/30/17,82.65
3/31/17,82.65
4/3/17,82.65
4/4/17,82.6
4/5/17,82.49
4/6/17,82.64
4/7/17,82.61
4/10/17,82.59
4/11/17,82.5
4/12/17,82.19
4/13/17,81.8
4/17/17,82.66
4/18/17,82.61
4/19/17,82.74
4/20/17,83.22
4/21/17,83.2
4/24/17,84.05
4/25/17,84.53
4/26/17,84.25
4/27/17,84.65
4/28/17,84.78
5/1/17,85.22
5/2/17,85.07
5/3/17,84.83
5/4/17,84.97
5/5/17,85.41
5/8/17,85.35
5/9/17,85.32
5/10/17,85.93
5/11/17,85.9
5/12/17,86.05
5/15/17,86.71
5/16/17,86.85
5/17/17,85.22
5/18/17,85.85
5/19/17,86.37
5/22/17,87.16
5/23/17,87.28
5/24/17,87.73
5/25/17,88.43
5/26/17,88.57
5/30/17,88.77
5/31/17,88.82
6/1/17,89.45
6/2/17,89.92
6/5/17,89.76
6/6/17,89.54
6/7/17,90.08
6/8/17,90.38
6/9/17,89.46
6/12/17,89.17
6/13/17,89.91
6/14/17,89.73
6/15/17,89.56
6/16/17,89.45
6/19/17,90.79
6/20/17,90.02
6/21/17,90.06
6/22/17,89.85
6/23/17,89.69
6/26/17,89.6
6/27/17,88.58
6/28/17,89.75
6/29/17,88.92
6/30/17,88.89
7/3/17,88.89
7/5/17,89.7
7/6/17,89.14
7/7/17,90.01
7/10/17,90.42
7/11/17,90.38
7/12/17,91.2
7/13/17,91.3
7/14/17,91.66
7/17/17,91.64
7/18/17,91.57
7/19/17,92.04
7/20/17,91.95
7/21/17,91.93
7/24/17,91.98
7/25/17,92.25
7/26/17,92.27
7/27/17,91.75
7/28/17,91.76
7/31/17,91.98
8/1/17,92.26
8/2/17,92.3
8/3/17,92.19
8/4/17,92.63
8/7/17,93.09
8/8/17,92.99
8/9/17,93.05
8/10/17,91.35
8/11/17,91.43
8/14/17,92.93
8/15/17,92.95
8/16/17,93.1
8/17/17,91.3
8/18/17,91.29
8/21/17,91.2
8/22/17,92.6
8/23/17,92.17
8/24/17,92.06
8/25/17,92.1
8/28/17,92.17
8/29/17,92.2
8/30/17,92.82
8/31/17,93.33
9/1/17,93.57
9/5/17,92.4
9/6/17,92.68
9/7/17,92.17
9/8/17,92.21
9/11/17,93.38
9/12/17,93.83
9/13/17,93.95
9/14/17,93.82
9/15/17,94.29
9/18/17,94.92
9/19/17,95.14
9/20/17,95.12
9/21/17,94.85
9/22/17,94.89
9/25/17,94
9/26/17,93.76
9/27/17,94.99
9/28/17,95.09
9/29/17,95.68
10/2/17,96.07
10/3/17,96.37
10/4/17,96.4
10/5/17,96.99
10/6/17,97.09
10/9/17,96.97
10/10/17,97.15
10/11/17,97.28
10/12/17,96.99
10/13/17,97.2
10/16/17,97.74
10/17/17,97.78
10/18/17,98.03
10/19/17,98.33
10/20/17,99.35
10/23/17,99.14
10/24/17,99.71
10/25/17,99.11
10/26/17,99.29
10/27/17,100.51
10/30/17,100.23
10/31/17,100.5
11/1/17,100.27
11/2/17,100.66
11/3/17,101.15
11/6/17,101.31
11/7/17,101.02
11/8/17,100.97
11/9/17,100.2
11/10/17,100.49
11/13/17,100.74
11/14/17,100.57
11/15/17,100.23
11/16/17,101.18
11/17/17,100.81
11/20/17,101.29
11/21/17,102.05
11/22/17,101.63
11/24/17,101.82
11/27/17,101.62
11/28/17,102.86
11/29/17,102.32
11/30/17,103.31
12/1/17,102.67
12/4/17,101.38
12/5/17,101.28
12/6/17,101.51
12/7/17,102.17
12/8/17,102.76
12/11/17,102.87
12/12/17,102.95
12/13/17,102.88
12/14/17,102.36
12/15/17,103.5
12/18/17,104.31
12/19/17,103.93
12/20/17,103.91
12/21/17,103.52
12/22/17,103.5
12/26/17,103.23
12/27/17,103.5
12/28/17,103.71
12/29/17,103.13
1/2/18,103.94
1/3/18,104.98
1/4/18,105.86
1/5/18,106.71
1/8/18,107.01
1/9/18,107.41
1/10/18,107.3
1/11/18,108.03
1/12/18,109.06
1/16/18,108.82
1/17/18,110.63
1/18/18,110.51
1/19/18,111.16
1/22/18,111.84
1/23/18,111.98
1/24/18,111.73
1/25/18,111.98
1/26/18,113.56
1/29/18,112.7
1/30/18,110.97
1/31/18,111.61
2/1/18,111.5
2/2/18,108.93
2/5/18,104.27
2/6/18,106.8
2/7/18,106.44
2/8/18,101.94
2/9/18,103.97
2/12/18,105.79
2/13/18,106.25
2/14/18,108.2
2/15/18,109.54
2/16/18,109.43
2/20/18,109.41
2/21/18,108.89
2/22/18,109.07
2/23/18,110.78
2/26/18,112.08
2/27/18,111.03
2/28/18,109.98
3/1/18,108.01
3/2/18,108.36
3/5/18,109.65
3/6/18,109.97
3/7/18,110.23
3/8/18,110.71
3/9/18,112.88
3/12/18,112.81
3/13/18,111.96
3/14/18,111.36
3/15/18,111.46
3/16/18,111.59
3/19/18,110.32
3/20/18,111.16
3/21/18,110.77
3/22/18,106.88
3/23/18,104.2
3/26/18,107.74
3/27/18,104.86
3/28/18,104.22
3/29/18,105.92
4/2/18,102.58
4/3/18,103.79
4/4/18,104.99
4/5/18,105.89
4/6/18,103.12
4/9/18,103.55
4/10/18,105.88
4/11/18,105.12
4/12/18,106.78
4/13/18,105.72
4/16/18,106.45
4/17/18,108.22
4/18/18,108.47
4/19/18,108.26
4/20/18,107.55
4/23/18,107.26
4/24/18,105.32
4/25/18,105.48
4/26/18,107.18
4/27/18,107.24
4/30/18,106.45
5/1/18,107.11
5/2/18,106.16
5/3/18,106.39
5/4/18,107.51
5/7/18,108.37
5/8/18,108.83
5/9/18,110.26
5/10/18,111.02
5/11/18,111.1
5/14/18,111.12
5/15/18,110.41
5/16/18,110.87
5/17/18,110.59
5/18/18,110.41
5/21/18,111.5
5/22/18,111.06
5/23/18,111.53
5/24/18,111.47
5/25/18,111.15
5/29/18,109.74
5/30/18,111.23
5/31/18,110.12
6/1/18,111.87
6/4/18,112.67
6/5/18,113.2
6/6/18,114.29
6/7/18,113.3
6/8/18,113.68
6/11/18,113.58
6/12/18,113.9
6/13/18,113.87
6/14/18,114.35
6/15/18,114.03
6/18/18,114.15
6/19/18,113.4
6/20/18,114.02
